,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,1,2000,10000,500,,ablated_eq1,0.5060132100000001,200.0
0,1,2000,10000,500,,ablated_eq2,0.5050872099999999,200.0
0,1,2000,10000,500,,LOGAN_D1,0.492027285,200.0
0,1,2000,10000,500,,MC,0.5063012,200.0
0,1,2000,10000,500,,gan_leaks,0.506141745,200.0
0,1,2000,10000,500,,gan_leaks_cal,0.5073261849999999,200.0
0,1,2000,10000,500,,LOGAN_0,0.50316196,200.0
0,1,2000,10000,500,,eq1,0.5060132100000001,200.0
0,1,2000,10000,500,,domias,0.50526654,200.0
0,1,2000,10000,3000,,ablated_eq1,0.504776015,200.0
0,1,2000,10000,3000,,ablated_eq2,0.505026895,200.0
0,1,2000,10000,3000,,LOGAN_D1,0.49075492499999995,200.0
0,1,2000,10000,3000,,MC,0.50244445,200.0
0,1,2000,10000,3000,,gan_leaks,0.506043175,200.0
0,1,2000,10000,3000,,gan_leaks_cal,0.50542277,200.0
0,1,2000,10000,3000,,LOGAN_0,0.5062894250000001,200.0
0,1,2000,10000,3000,,eq1,0.504776015,200.0
0,1,2000,10000,3000,,domias,0.504049915,200.0
0,1,2000,10000,5000,,ablated_eq1,0.5050898300000001,200.0
0,1,2000,10000,5000,,ablated_eq2,0.50474113,200.0
0,1,2000,10000,5000,,LOGAN_D1,0.49094853499999996,200.0
0,1,2000,10000,5000,,MC,0.505235405,200.0
0,1,2000,10000,5000,,gan_leaks,0.506219435,200.0
0,1,2000,10000,5000,,gan_leaks_cal,0.5045445,200.0
0,1,2000,10000,5000,,LOGAN_0,0.500277445,200.0
0,1,2000,10000,5000,,eq1,0.5050898300000001,200.0
0,1,2000,10000,5000,,domias,0.50378047,200.0
0,1,2000,10000,10000,,ablated_eq1,0.507986745,200.0
0,1,2000,10000,10000,,ablated_eq2,0.508527885,200.0
0,1,2000,10000,10000,,LOGAN_D1,0.48927135,200.0
0,1,2000,10000,10000,,MC,0.50605761,200.0
0,1,2000,10000,10000,,gan_leaks,0.50821428,200.0
0,1,2000,10000,10000,,gan_leaks_cal,0.50661408,200.0
0,1,2000,10000,10000,,LOGAN_0,0.5060776450000001,200.0
0,1,2000,10000,10000,,eq1,0.507986745,200.0
0,1,2000,10000,10000,,domias,0.508529545,200.0
0,2,2000,10000,500,,ablated_eq1,0.5094224150000001,200.0
0,2,2000,10000,500,,ablated_eq2,0.5098457649999999,200.0
0,2,2000,10000,500,,LOGAN_D1,0.49043634,200.0
0,2,2000,10000,500,,MC,0.5060588049999999,200.0
0,2,2000,10000,500,,gan_leaks,0.509390245,200.0
0,2,2000,10000,500,,gan_leaks_cal,0.507479775,200.0
0,2,2000,10000,500,,LOGAN_0,0.49752485999999996,200.0
0,2,2000,10000,500,,eq1,0.5094224150000001,200.0
0,2,2000,10000,500,,domias,0.5120847350000001,200.0
0,2,2000,10000,3000,,ablated_eq1,0.506199725,200.0
0,2,2000,10000,3000,,ablated_eq2,0.504500615,200.0
0,2,2000,10000,3000,,LOGAN_D1,0.490503915,200.0
0,2,2000,10000,3000,,MC,0.50625916,200.0
0,2,2000,10000,3000,,gan_leaks,0.505526815,200.0
0,2,2000,10000,3000,,gan_leaks_cal,0.5042765250000001,200.0
0,2,2000,10000,3000,,LOGAN_0,0.505505225,200.0
0,2,2000,10000,3000,,eq1,0.506199725,200.0
0,2,2000,10000,3000,,domias,0.503763805,200.0
0,2,2000,10000,5000,,ablated_eq1,0.504941065,200.0
0,2,2000,10000,5000,,ablated_eq2,0.5041772250000001,200.0
0,2,2000,10000,5000,,LOGAN_D1,0.49061537499999996,200.0
0,2,2000,10000,5000,,MC,0.50538902,200.0
0,2,2000,10000,5000,,gan_leaks,0.5073864699999999,200.0
0,2,2000,10000,5000,,gan_leaks_cal,0.505413655,200.0
0,2,2000,10000,5000,,LOGAN_0,0.49781496000000003,200.0
0,2,2000,10000,5000,,eq1,0.504941065,200.0
0,2,2000,10000,5000,,domias,0.505177395,200.0
0,2,2000,10000,10000,,ablated_eq1,0.506412115,200.0
0,2,2000,10000,10000,,ablated_eq2,0.506847335,200.0
0,2,2000,10000,10000,,LOGAN_D1,0.491008015,200.0
0,2,2000,10000,10000,,MC,0.505376465,200.0
0,2,2000,10000,10000,,gan_leaks,0.506158055,200.0
0,2,2000,10000,10000,,gan_leaks_cal,0.50435074,200.0
0,2,2000,10000,10000,,LOGAN_0,0.5002076000000001,200.0
0,2,2000,10000,10000,,eq1,0.506412115,200.0
0,2,2000,10000,10000,,domias,0.506691295,200.0
0,3,2000,10000,500,,ablated_eq1,0.50658523,200.0
0,3,2000,10000,500,,ablated_eq2,0.5037056400000001,200.0
0,3,2000,10000,500,,LOGAN_D1,0.49088931999999996,200.0
0,3,2000,10000,500,,MC,0.5083311300000001,200.0
0,3,2000,10000,500,,gan_leaks,0.507637535,200.0
0,3,2000,10000,500,,gan_leaks_cal,0.50761914,200.0
0,3,2000,10000,500,,LOGAN_0,0.49884221000000006,200.0
0,3,2000,10000,500,,eq1,0.50658523,200.0
0,3,2000,10000,500,,domias,0.5031919899999999,200.0
0,3,2000,10000,3000,,ablated_eq1,0.504603055,200.0
0,3,2000,10000,3000,,ablated_eq2,0.502356545,200.0
0,3,2000,10000,3000,,LOGAN_D1,0.490432495,200.0
0,3,2000,10000,3000,,MC,0.5053126450000001,200.0
0,3,2000,10000,3000,,gan_leaks,0.506083895,200.0
0,3,2000,10000,3000,,gan_leaks_cal,0.5036465250000001,200.0
0,3,2000,10000,3000,,LOGAN_0,0.50670475,200.0
0,3,2000,10000,3000,,eq1,0.504603055,200.0
0,3,2000,10000,3000,,domias,0.5037200850000001,200.0
0,3,2000,10000,5000,,ablated_eq1,0.5081517,200.0
0,3,2000,10000,5000,,ablated_eq2,0.51072934,200.0
0,3,2000,10000,5000,,LOGAN_D1,0.49114151,200.0
0,3,2000,10000,5000,,MC,0.50595489,200.0
0,3,2000,10000,5000,,gan_leaks,0.50662473,200.0
0,3,2000,10000,5000,,gan_leaks_cal,0.507430825,200.0
0,3,2000,10000,5000,,LOGAN_0,0.494682915,200.0
0,3,2000,10000,5000,,eq1,0.5081517,200.0
0,3,2000,10000,5000,,domias,0.5091554199999999,200.0
0,3,2000,10000,10000,,ablated_eq1,0.506904525,200.0
0,3,2000,10000,10000,,ablated_eq2,0.506511645,200.0
0,3,2000,10000,10000,,LOGAN_D1,0.493546105,200.0
0,3,2000,10000,10000,,MC,0.502867445,200.0
0,3,2000,10000,10000,,gan_leaks,0.505763435,200.0
0,3,2000,10000,10000,,gan_leaks_cal,0.50445969,200.0
0,3,2000,10000,10000,,LOGAN_0,0.5014348949999999,200.0
0,3,2000,10000,10000,,eq1,0.506904525,200.0
0,3,2000,10000,10000,,domias,0.506977535,200.0
0,4,2000,10000,500,,ablated_eq1,0.50832309,200.0
0,4,2000,10000,500,,ablated_eq2,0.50804196,200.0
0,4,2000,10000,500,,LOGAN_D1,0.488692575,200.0
0,4,2000,10000,500,,MC,0.506752625,200.0
0,4,2000,10000,500,,gan_leaks,0.509030565,200.0
0,4,2000,10000,500,,gan_leaks_cal,0.5088861950000001,200.0
0,4,2000,10000,500,,LOGAN_0,0.5021954399999999,200.0
0,4,2000,10000,500,,eq1,0.50832309,200.0
0,4,2000,10000,500,,domias,0.50967857,200.0
0,4,2000,10000,3000,,ablated_eq1,0.50631015,200.0
0,4,2000,10000,3000,,ablated_eq2,0.50678006,200.0
0,4,2000,10000,3000,,LOGAN_D1,0.491012555,200.0
0,4,2000,10000,3000,,MC,0.508268485,200.0
0,4,2000,10000,3000,,gan_leaks,0.509909535,200.0
0,4,2000,10000,3000,,gan_leaks_cal,0.51105025,200.0
0,4,2000,10000,3000,,LOGAN_0,0.499357175,200.0
0,4,2000,10000,3000,,eq1,0.50631015,200.0
0,4,2000,10000,3000,,domias,0.50586239,200.0
0,4,2000,10000,5000,,ablated_eq1,0.507217305,200.0
0,4,2000,10000,5000,,ablated_eq2,0.507772095,200.0
0,4,2000,10000,5000,,LOGAN_D1,0.49100665,200.0
0,4,2000,10000,5000,,MC,0.5082633,200.0
0,4,2000,10000,5000,,gan_leaks,0.510294125,200.0
0,4,2000,10000,5000,,gan_leaks_cal,0.5092427399999999,200.0
0,4,2000,10000,5000,,LOGAN_0,0.502186505,200.0
0,4,2000,10000,5000,,eq1,0.507217305,200.0
0,4,2000,10000,5000,,domias,0.5077694850000001,200.0
0,4,2000,10000,10000,,ablated_eq1,0.5070950299999999,200.0
0,4,2000,10000,10000,,ablated_eq2,0.50803204,200.0
0,4,2000,10000,10000,,LOGAN_D1,0.48960061,200.0
0,4,2000,10000,10000,,MC,0.50579627,200.0
0,4,2000,10000,10000,,gan_leaks,0.508885085,200.0
0,4,2000,10000,10000,,gan_leaks_cal,0.50750684,200.0
0,4,2000,10000,10000,,LOGAN_0,0.50196542,200.0
0,4,2000,10000,10000,,eq1,0.5070950299999999,200.0
0,4,2000,10000,10000,,domias,0.50783708,200.0
0,5,2000,10000,500,,ablated_eq1,0.507225815,200.0
0,5,2000,10000,500,,ablated_eq2,0.5062366949999999,200.0
0,5,2000,10000,500,,LOGAN_D1,0.49140472999999996,200.0
0,5,2000,10000,500,,MC,0.50623198,200.0
0,5,2000,10000,500,,gan_leaks,0.50749183,200.0
0,5,2000,10000,500,,gan_leaks_cal,0.5051409549999999,200.0
0,5,2000,10000,500,,LOGAN_0,0.49926829000000006,200.0
0,5,2000,10000,500,,eq1,0.507225815,200.0
0,5,2000,10000,500,,domias,0.505062305,200.0
0,5,2000,10000,3000,,ablated_eq1,0.504829385,200.0
0,5,2000,10000,3000,,ablated_eq2,0.503892485,200.0
0,5,2000,10000,3000,,LOGAN_D1,0.4906785899999999,200.0
0,5,2000,10000,3000,,MC,0.50540423,200.0
0,5,2000,10000,3000,,gan_leaks,0.505035095,200.0
0,5,2000,10000,3000,,gan_leaks_cal,0.5037131,200.0
0,5,2000,10000,3000,,LOGAN_0,0.500332065,200.0
0,5,2000,10000,3000,,eq1,0.504829385,200.0
0,5,2000,10000,3000,,domias,0.5024924850000001,200.0
0,5,2000,10000,5000,,ablated_eq1,0.505815725,200.0
0,5,2000,10000,5000,,ablated_eq2,0.5032465450000001,200.0
0,5,2000,10000,5000,,LOGAN_D1,0.49207740999999994,200.0
0,5,2000,10000,5000,,MC,0.503717225,200.0
0,5,2000,10000,5000,,gan_leaks,0.506615665,200.0
0,5,2000,10000,5000,,gan_leaks_cal,0.5053346000000001,200.0
0,5,2000,10000,5000,,LOGAN_0,0.50285164,200.0
0,5,2000,10000,5000,,eq1,0.505815725,200.0
0,5,2000,10000,5000,,domias,0.503783045,200.0
0,5,2000,10000,10000,,ablated_eq1,0.50709665,200.0
0,5,2000,10000,10000,,ablated_eq2,0.50703263,200.0
0,5,2000,10000,10000,,LOGAN_D1,0.48994877000000003,200.0
0,5,2000,10000,10000,,MC,0.507946845,200.0
0,5,2000,10000,10000,,gan_leaks,0.508675465,200.0
0,5,2000,10000,10000,,gan_leaks_cal,0.50759748,200.0
0,5,2000,10000,10000,,LOGAN_0,0.496253595,200.0
0,5,2000,10000,10000,,eq1,0.50709665,200.0
0,5,2000,10000,10000,,domias,0.5071079000000001,200.0
